名稱,評分,圖鑑編號,第一屬性,第二屬性,攻擊力,防禦力,HP,Stat Product,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費
帕路奇亞,88.9,484,水,龍,247.9,193.3,171,8192467,50,龍尾,水流尾,流星群,4,8,20,100000
冰岩怪 洗翠,88.8,713,冰,岩石,192.4,212.6,194,7936454,50,細雪,岩崩,冰凍之風,6,6,3,50000
戟脊龍,87.8,998,龍,冰,226,153.8,205,7125675,50,龍息,雪崩,龍爪,15,12,5,75000
洛奇亞,87.3,249,超能力,飛行,174.8,273.1,210,10023854,50,龍尾,神鳥猛擊,氣旋攻擊,6,9,20,100000
象牙豬,86.7,473,冰,地面,220.2,135.3,215,6403750,50,細雪,雪崩,十萬馬力,6,8,3,50000
卡比獸 暗影,86.7,143,一般,,172.3,154.6,289,7697298,50,舌舔,泰山壓頂,蠻力,12,14,5,75000
薩戮德,86.6,893,惡,草,216,193.3,208,8681466,50,藤鞭,惡之波動,強力鞭打,7,7,20,100000
蓋歐卡,86.4,382,水,,239.5,204.2,184,8997828,50,攀瀑,衝浪,根源波動,5,8,20,100000
暴鯉龍,86.3,130,水,飛行,211.8,168.9,194,6938524,50,龍息,水流尾,咬碎,12,15,1,10000
伊裴爾塔爾,86.3,717,惡,飛行,222.7,168.1,219,8195751,50,大聲咆哮,惡之波動,死亡之翼,4,4,20,100000
帝牙盧卡,86.1,483,鋼,龍,243.7,189.9,184,8515164,50,龍息,鐵頭,流星群,17,22,20,100000
美錄梅塔,85.9,809,鋼,,202.5,172.3,234,8163107,50,電擊,蠻力,鋼拳雙擊,5,4,20,100000
月月熊 暗影,85.9,901,地面,一般,216.8,164.7,245,8748037,50,撞擊,冰凍拳,十萬馬力,14,20,3,50000
三首惡龍,85.8,635,惡,龍,227.7,170.6,189,7341687,50,龍息,狂舞揮打,加農光炮,14,24,5,75000
象牙豬 暗影,85.7,473,冰,地面,220.2,135.3,215,6403750,50,細雪,十萬馬力,雪崩,8,6,3,50000
土地雲 化身,85.4,645,地面,飛行,231.9,165.5,184,7064182,50,泥巴射擊,岩崩,大地之力,5,7,20,100000
爆肌蚊,85.1,794,蟲,格鬥,210.9,177.3,194,7254820,50,雙倍奉還,蠻力,猛撲,6,7,20,100000
烈咬陸鯊,85,445,龍,地面,231.9,174.8,213,8634174,50,泥巴射擊,逆鱗,大地之力,7,7,5,75000
月月熊,84.9,901,地面,一般,216.8,164.7,245,8748037,50,撞擊,冰凍拳,十萬馬力,14,20,3,50000
土地雲 靈獸,84.8,645,地面,飛行,255.5,163,184,7662348,50,泥巴射擊,蠻力,尖石攻擊,5,7,20,100000
席多藍恩,84.7,485,火,鋼,223.5,191.6,188,8050875,50,火焰旋渦,熔岩風暴,鐵頭,4,5,20,100000
拉帝歐斯 暗影,84.7,381,龍,超能力,237.8,190.7,172,7802064,50,龍息,龍爪,潔淨光芒,12,20,20,100000
洛奇亞 暗影,84.5,249,超能力,飛行,174.8,273.1,210,10023854,50,龍尾,氣旋攻擊,神鳥猛擊,9,6,20,100000
蓋諾賽克特 冰凍,84.3,649,蟲,鋼,224.4,179.8,158,6374570,50,連斬,磁鐵炸彈,高科技光炮 冰,12,14,20,100000
杖尾鱗甲龍,83.9,784,龍,格鬥,199.2,214.3,164,6998438,50,龍尾,近身戰,龍爪,5,4,5,75000
巨金怪,83.9,376,鋼,超能力,228.6,204.2,172,8027353,50,子彈拳,彗星拳,地震,8,10,5,75000
藏瑪然特 百戰勇者,83.7,889,格鬥,,226,210.9,173,8247852,50,大聲咆哮,近身戰,咬碎,4,4,20,100000
畢力吉翁,83.6,640,草,格鬥,173.9,205,188,6704815,50,二連踢,葉刃,聖劍,3,3,20,100000
基格爾德 50%,83.4,718,龍,地面,183.2,207.6,213,8098448,50,龍尾,咬碎,地震,5,8,20,100000
巨沼怪 暗影,83.2,260,水,地面,187.4,159.7,201,6013444,50,泥巴射擊,加農水砲,地震,5,8,3,10000
巨沼怪,83.1,260,水,地面,187.4,159.7,201,6013444,50,泥巴射擊,加農水砲,地震,5,8,3,10000
閃電鳥 伽勒爾,82.9,145,格鬥,飛行,224.4,171.4,186,7153575,50,雙倍奉還,原始之力,勇鳥猛攻,7,8,20,100000
拉帝歐斯,82.8,381,龍,超能力,237.8,190.7,172,7802064,50,龍息,龍爪,潔淨光芒,12,20,20,100000
閃電鳥,82.8,145,電,飛行,225.2,168.1,186,7039576,50,電擊,啄鑽,十萬伏特,5,7,20,100000
具甲武者,82.6,768,蟲,水,195.8,202.5,164,6502578,50,暗影爪,十字剪,水流裂破,5,6,1,10000
代拉基翁,82.6,639,岩石,格鬥,231.1,173.9,188,7556656,50,二連踢,聖劍,岩崩,3,4,20,100000
烈空坐,82.5,384,龍,飛行,251.2,155.5,191,7460107,50,龍尾,廣域破壞,畫龍點睛,4,8,20,100000
閃電鳥 暗影,82.4,145,電,飛行,225.2,168.1,186,7039576,50,電擊,啄鑽,十萬伏特,5,7,20,100000
修建老匠,81.9,534,格鬥,,216.8,145.4,208,6555380,50,雙倍奉還,狂舞揮打,爆裂拳,6,8,5,75000
超甲狂犀,81.9,464,地面,岩石,215.1,172.3,223,8263565,50,擲泥,廣域破壞,岩石炮,4,6,3,50000
勾帕路翁,81.7,638,鋼,格鬥,173.9,205,188,6704815,50,二連踢,聖劍,尖石攻擊,3,5,20,100000
冰岩怪,81.5,713,冰,,177.3,214.3,194,7370435,50,冰凍牙,雪崩,泰山壓頂,9,7,3,50000
龍頭地鼠 暗影,81.5,530,地面,鋼,226.9,121,215,5902466,50,泥巴射擊,直衝鑽,岩崩,5,5,3,50000
凱路迪歐 平常,81.4,647,水,格鬥,231.1,173.9,188,7556656,50,毒擊,水炮,聖劍,11,5,20,100000
夢幻,81.1,151,超能力,,189.1,189.1,201,7185051,50,暗影爪,衝浪,瘋狂伏特,5,6,20,100000
卡比獸,81.1,143,一般,,172.3,154.6,289,7697298,50,舌舔,泰山壓頂,蠻力,12,14,5,75000
雷吉洛克 暗影,81,377,岩石,,163,272.3,172,7633856,50,鎖定,尖石攻擊,真氣彈,11,15,20,100000
蓋諾賽克特 火焰,80.9,649,蟲,鋼,224.4,179.8,158,6374570,50,連斬,磁鐵炸彈,高科技光炮 火,12,14,20,100000
龍頭地鼠,80.4,530,地面,鋼,226.9,121,215,5902466,50,泥巴射擊,直衝鑽,岩崩,5,5,3,50000
超甲狂犀 暗影,80.2,464,地面,岩石,215.1,172.3,223,8263565,50,擲泥,岩石炮,廣域破壞,6,4,3,50000
烈咬陸鯊 暗影,80,445,龍,地面,231.9,174.8,213,8634174,50,龍尾,逆鱗,流沙地獄,7,5,5,75000
雷吉洛克,79.9,377,岩石,,163,272.3,172,7633856,50,鎖定,尖石攻擊,真氣彈,11,15,20,100000
大狃拉 暗影,79.8,903,格鬥,毒,230.2,145.4,172,5756969,50,暗影爪,近身戰,十字剪,6,5,5,75000
蓋諾賽克特 水流,79.7,649,蟲,鋼,224.4,179.8,158,6374570,50,連斬,磁鐵炸彈,高科技光炮 水,12,14,20,100000
蓋諾賽克特 閃電,79.7,649,蟲,鋼,224.4,179.8,158,6374570,50,連斬,磁鐵炸彈,高科技光炮 電,12,14,20,100000
浩大鯨,79.6,975,冰,,187.4,116,304,6605813,50,冰礫,雪崩,泰山壓頂,5,4,3,50000
卡璞・鰭鰭,79.6,788,水,妖精,171.4,226,157,6083463,50,水槍,衝浪,月亮之力,14,20,20,100000
虛吾伊德,79,793,岩石,毒,221.8,189.1,214,8975713,50,毒擊,岩崩,污泥炸彈,7,8,20,100000
巨金怪 暗影,78.9,376,鋼,超能力,228.6,204.2,172,8027353,50,子彈拳,彗星拳,地震,8,10,5,75000
卡璞・哞哞,78.9,787,草,妖精,221.8,193.3,157,6731319,50,種子機關槍,打草結,魔法閃耀,4,6,20,100000
賽富豪,78.8,1000,鋼,幽靈,224.4,172.3,182,7034047,50,禍不單行,暗影球,真氣彈,5,7,5,10000
波克基斯,78.7,468,妖精,飛行,201.7,194.9,178,6998226,50,撒嬌,原始之力,波導彈,8,10,3,50000
班基拉斯 暗影,78.7,248,岩石,惡,223.5,186.5,201,8381069,50,擊落,狂舞揮打,尖石攻擊,5,7,5,75000
急凍鳥,78.4,144,冰,飛行,173.9,210.9,186,6823792,50,冰礫,冰凍之風,原始之力,5,5,20,100000
班基拉斯,78.1,248,岩石,惡,223.5,186.5,201,8381069,50,擊落,狂舞揮打,尖石攻擊,5,7,5,75000
雷公 暗影,78,243,電,,215.1,176.5,186,7060589,50,伏特替換,瘋狂伏特,暗影球,3,4,20,100000
帝牙海獅 暗影,78,365,冰,水,165.5,160.5,215,5712245,50,細雪,冰錐,地震,5,9,3,50000
帝牙海獅,77.9,365,冰,水,165.5,160.5,215,5712245,50,細雪,冰錐,地震,5,9,3,50000
急凍鳥 暗影,77.7,144,冰,飛行,173.9,210.9,186,6823792,50,冰礫,冰凍之風,原始之力,5,5,20,100000
沙奈朵 暗影,77.5,282,超能力,妖精,211.8,176.5,154,5754523,50,撒嬌,三旋擊,暗影球,8,10,5,75000
黏美龍,77.5,706,龍,,197.5,216,186,7932000,50,龍息,濁流,流星群,12,22,5,75000
怪力 暗影,77.4,68,格鬥,,209.2,146.2,186,5690236,50,雙倍奉還,十字劈,岩崩,5,7,3,50000
骨紋巨聲鱷,77.4,911,火,幽靈,186.5,162.2,207,6262524,50,燒盡,暗影球,魅惑之聲,3,3,3,10000
蓋諾賽克特,77.1,649,蟲,鋼,224.4,179.8,158,6374570,50,連斬,磁鐵炸彈,高科技光炮 一般,12,14,20,100000
雷公,77.1,243,電,,215.1,176.5,186,7060589,50,伏特替換,瘋狂伏特,暗影球,3,4,20,100000
雙斧戰龍,77,612,龍,,251.2,157.1,166,6553746,50,雙倍奉還,廣域破壞,暗襲要害,5,5,5,75000
仙子伊布,76.8,700,妖精,,183.2,184.9,194,6569762,50,撒嬌,月亮之力,精神衝擊,10,8,5,75000
達克萊伊,76.7,491,惡,,252.1,179,157,7083848,50,大聲咆哮,惡之波動,真氣彈,4,6,20,100000
大狃拉,76.6,903,格鬥,毒,230.2,145.4,172,5756969,50,暗影爪,近身戰,燕返,6,5,5,75000
炎帝 暗影,76.1,244,火,,210.1,156.3,223,7321947,50,火焰旋渦,蓄能焰襲,熱沙大地,5,5,20,100000
惡食大王,76.1,799,惡,龍,170.6,95.8,382,6242133,50,龍尾,狂舞揮打,龍爪,5,4,20,100000
