名稱,評分,圖鑑編號,第一屬性,第二屬性,攻擊力,防禦力,HP,Stat Product,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費
戰舞郎,87.9,237,格鬥,,158,186.5,127,3742685,50,雙倍奉還,近身戰,三旋擊,7,7,5,75000
朽木妖,87.9,709,幽靈,草,165.7,133.7,170,3763929,42,暗影爪,暗影球,種子炸彈,7,6,5,75000
帝牙海獅 暗影,87.9,365,冰,水,146.4,148,197,4269506,38,細雪,冰錐,地震,5,9,3,50000
花潔夫人,87.8,671,妖精,,155.5,180.4,143,4011420,28.5,妖精之風,魅惑之聲,月亮之力,5,7,3,50000
泥巴魚 伽勒爾,87.8,618,地面,鋼,133.6,156.3,214,4468817,50,泥巴射擊,岩崩,地震,5,8,5,75000
蚊香蛙皇 暗影,87.7,186,水,,147.2,158.7,181,4227183,45.5,泥巴射擊,氣象球 水,暴風雪,4,9,3,50000
頭巾混混,87.7,560,惡,格鬥,146.2,196.3,148,4246710,49,雙倍奉還,欺詐,增強拳,7,5,3,50000
妙蛙花,87.7,3,草,毒,158.5,155.4,160,3939799,39,藤鞭,瘋狂植物,污泥炸彈,6,7,3,10000
君主蛇,87.5,497,草,,144.9,182.6,162,4288468,49.5,藤鞭,瘋狂植物,燕返,6,5,3,10000
甲賀忍蛙,87.4,658,水,惡,179.7,129.5,149,3466117,39,飛水手裡劍,加農水砲,暗襲要害,3,3,3,10000
蚊香蛙皇,87.3,186,水,,147.2,158.7,181,4227183,45.5,泥巴射擊,衝浪,暴風雪,5,9,3,50000
噴火龍 暗影,87.2,6,火,飛行,172.3,139,151,3617527,34,翅膀攻擊,爆炸烈焰,龍爪,7,5,3,10000
暴雪王 暗影,87.1,460,草,冰,152.9,143.7,185,4062901,49,細雪,冰凍之風,能量球,6,7,3,50000
大竺葵,87.1,154,草,,144.1,179.1,168,4333903,48.5,藤鞭,瘋狂植物,地震,6,9,3,10000
九尾 阿羅拉 暗影,87,38,冰,妖精,151.5,171.4,158,4101411,47.5,細雪,氣象球 冰,魔法閃耀,5,9,3,50000
大狃拉 暗影,87,903,格鬥,毒,189,121.2,144,3299456,28.5,暗影爪,近身戰,燕返,6,5,5,75000
下石鳥,86.8,962,飛行,惡,165.7,148.5,153,3764149,46,翅膀攻擊,飛翔,以牙還牙,6,8,5,75000
皮可西,86.8,36,妖精,,151.1,143.6,190,4124214,48,妖精之風,月亮之力,彗星拳,7,6,1,10000
水箭龜,86.7,9,水,,144.4,182.1,164,4311763,46,水槍,加農水砲,冰凍光束,14,19,3,10000
耿鬼 暗影,86.6,94,幽靈,毒,200.3,120.9,128,3099260,34,暗影爪,暗影球,暗影拳,7,5,3,50000
騎拉帝納 起源,86.6,487,幽靈,龍,153,134.3,197,4045432,25,暗影爪,暗影球,龍之波動,7,8,20,100000
超夢 裝甲,86.6,150,超能力,,135,208.2,164,4608972,29.5,念力,精神擊破,爆裂拳,4,5,20,100000
大舌舔,86.4,463,一般,,136.6,159.8,209,4560814,47.5,舌舔,泰山壓頂,暗影球,12,19,3,50000
雷吉艾斯,86.4,378,冰,,133.9,237.1,146,4634630,30,鎖定,打雷,暴風雪,12,15,20,100000
杖尾鱗甲龍,86.3,784,龍,格鬥,160.4,176.5,137,3879949,27.5,龍尾,近身戰,龍爪,5,4,5,75000
雙彈瓦斯 伽勒爾,86.3,110,毒,妖精,154.9,175.7,147,4001272,48.5,妖精之風,狂舞揮打,嬉鬧,5,7,3,50000
怪力 暗影,86.2,68,格鬥,,174.1,126.6,161,3549074,30,雙倍奉還,十字劈,以牙還牙,5,9,3,50000
毒藻龍,86.1,691,毒,龍,150.7,184.9,147,4096701,48.5,龍尾,水流尾,逆鱗,4,7,3,50000
坦克臭鼬 暗影,85.9,435,毒,惡,157.5,122.3,204,3930298,49.5,毒擊,咬碎,起草,7,8,3,50000
耿鬼,85.8,94,幽靈,毒,200.3,120.9,128,3099260,34,暗影爪,暗影球,暗影拳,7,5,3,50000
戰舞郎 暗影,85.8,237,格鬥,,158,186.5,127,3742685,50,雙倍奉還,近身戰,三旋擊,7,7,5,75000
尼多后 暗影,85.8,31,毒,地面,151.8,152.6,178,4121450,46,毒擊,劇毒牙,大地之力,6,8,3,50000
大鋼蛇,85.8,208,鋼,地面,127,237.5,162,4887002,48,龍尾,廣域破壞,地震,4,8,5,75000
堵攔熊,85.6,862,惡,一般,146.7,164.9,176,4256762,40.5,雙倍奉還,暗襲要害,十字劈,5,5,3,10000
雷吉艾斯 暗影,85.6,378,冰,,133.9,237.1,146,4634630,30,鎖定,打雷,暴風雪,12,15,20,100000
毒骷蛙,85.6,454,毒,格鬥,175.8,119.9,168,3542602,44,雙倍奉還,泥巴炸彈,暗影球,6,8,3,50000
尼多后,85.5,31,毒,地面,151.8,152.6,178,4121450,46,毒擊,劇毒牙,大地之力,6,8,3,50000
大狃拉,85.5,903,格鬥,毒,189,121.2,144,3299456,28.5,暗影爪,近身戰,燕返,6,5,5,75000
死神板,85.4,867,地面,幽靈,146.2,209.7,138,4229372,49,暗影爪,流沙地獄,暗影球,5,7,3,50000
閃電鳥,85.4,145,電,飛行,175.7,134.9,149,3531634,26,電擊,啄鑽,十萬伏特,5,7,20,100000
電蜘蛛,85.3,596,蟲,電,181.5,120.2,157,3424193,50,伏特替換,放電,猛撲,3,3,3,50000
穿山王 阿羅拉 暗影,85.3,28,冰,鋼,150.3,174.4,158,4140235,48,暗影爪,冰凍拳,直衝鑽,5,6,3,50000
雷公,85.2,243,電,,170.1,141.6,152,3660484,27,伏特替換,瘋狂伏特,暗影球,3,4,20,100000
泥巴魚,85.2,618,地面,電,133.6,156.3,214,4468817,50,泥巴射擊,泥巴炸彈,放電,5,5,5,75000
九尾 阿羅拉,85.1,38,冰,妖精,151.5,171.4,158,4101411,47.5,細雪,氣象球 冰,魔法閃耀,5,9,3,50000
大劍鬼,84.9,503,水,,165.1,130,175,3755605,35.5,連斬,加農水砲,超級角擊,10,14,3,10000
月亮伊布,84.9,197,惡,,118.5,214.3,194,4925267,50,大聲咆哮,欺詐,珍藏,4,5,5,75000
電蜘蛛 暗影,84.7,596,蟲,電,181.5,120.2,157,3424193,50,伏特替換,放電,猛撲,3,3,3,50000
騎士蝸牛,84.6,589,蟲,鋼,172.3,151.1,139,3619610,34,雙倍奉還,超級角擊,直衝鑽,8,7,3,50000
巨翅飛魚,84.6,226,水,飛行,137,202.5,149,4132945,50,翅膀攻擊,泡沫光線,冰凍光束,5,7,5,75000
火焰鳥 伽勒爾,84.5,146,惡,飛行,149.5,172.7,161,4155616,29.5,翅膀攻擊,原始之力,以牙還牙,6,8,20,100000
焰后蜥,84.5,758,毒,火,190.3,118.9,145,3282233,46,燒盡,劇毒牙,龍之波動,2,3,3,50000
暴鯉龍 暗影,84.4,130,水,飛行,167.3,139.5,158,3687813,27,龍息,水流尾,咬碎,12,15,1,10000
布里卡隆,84.3,652,草,格鬥,153.1,162.1,163,4043784,32.5,藤鞭,瘋狂植物,蠻力,6,5,3,10000
快龍,84.3,149,龍,飛行,176,138.1,145,3524817,24,龍息,龍爪,蠻力,12,14,5,75000
鯰魚王,84.3,340,水,地面,139.5,131.1,215,3931334,50,泥巴射擊,泥巴炸彈,熱水,5,6,1,10000
